,id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
0,84351228,84351228,timberners_lee,Boston,"Director of the World Wide Web Consortium (W3C) w3.org, the place to agree on web standards.  Founded webfoundation.org - let  the web serve humanity",http://www.w3.org/People/Berners-Lee/,249256,412,10147,Thu Oct 22 15:29:47 +0000 2009,94,True,795,en,"{'created_at': 'Mon Mar 13 00:36:24 +0000 2017', 'id': 841085498395312129, 'id_str': '841085498395312129', 'text': 'RT @BobMorris_ii: @AjitPaiFCC It is truly most beautiful when the dewdrops on the web sparkle and shine in the sunlight of #NetNeutrality #…', 'truncated': False, 'entities': {'hashtags': [{'text': 'NetNeutrality', 'indices': [123, 137]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BobMorris_ii', 'name': 'Bob Morris', 'id': 825768671091978240, 'id_str': '825768671091978240', 'indices': [3, 16]}, {'screen_name': 'AjitPaiFCC', 'name': 'Ajit Pai', 'id': 575658149, 'id_str': '575658149', 'indices': [18, 29]}], 'urls': []}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Sun Mar 12 20:51:35 +0000 2017', 'id': 841028921411821568, 'id_str': '841028921411821568', 'text': '@AjitPaiFCC It is truly most beautiful when the dewdrops on the web sparkle and shine in the sunlight of #NetNeutrality #OpenInternet', 'truncated': False, 'entities': {'hashtags': [{'text': 'NetNeutrality', 'indices': [105, 119]}, {'text': 'OpenInternet', 'indices': [120, 133]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AjitPaiFCC', 'name': 'Ajit Pai', 'id': 575658149, 'id_str': '575658149', 'indices': [0, 11]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': 841007196699807747, 'in_reply_to_status_id_str': '841007196699807747', 'in_reply_to_user_id': 575658149, 'in_reply_to_user_id_str': '575658149', 'in_reply_to_screen_name': 'AjitPaiFCC', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 10, 'favorite_count': 29, 'favorited': False, 'retweeted': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 10, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,False,False,Tim Berners-Lee,0
1,93957809,93957809,ericschmidt,"Mountain View, CA",Executive Chairman & former CEO,http://t.co/GUXh9Byhr4,1749014,254,20641,Tue Dec 01 22:23:22 +0000 2009,0,True,470,en,"{'created_at': 'Tue Mar 14 00:17:32 +0000 2017', 'id': 841443141827862528, 'id_str': '841443141827862528', 'text': 'John Goodenough, inventor of the lithium battery, has developed the first all-solid-state battery cells. Promising! https://t.co/fhhjWEQF8N', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fhhjWEQF8N', 'expanded_url': 'https://goo.gl/gqJUvt', 'display_url': 'goo.gl/gqJUvt', 'indices': [116, 139]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 81, 'favorite_count': 165, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",True,False,True,Eric Schmidt,0
2,94143715,94143715,KatieS,San Francisco | Paris ,Mom of 3 kids & @tacopuppy. CMO @Color. Alum of @Twitter @WhiteHouse @Google @Yahoo. Board Member @Vivendi. Founding Partner #Angels. ❤️🇺🇸🌍,https://t.co/gKtm0CnGrR,118101,995,2280,Wed Dec 02 18:20:00 +0000 2009,31928,True,24564,en,"{'created_at': 'Tue Mar 14 01:40:21 +0000 2017', 'id': 841463980900012032, 'id_str': '841463980900012032', 'text': 'So excited for your new chapter @JibJab, @kateb! Dream team with @3GS and @espiridellis (@SnoopDogg too!) 🐶🎬💥🙌 https://t.co/CLroj8yVtd', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JibJab', 'name': 'JibJab', 'id': 18639249, 'id_str': '18639249', 'indices': [32, 39]}, {'screen_name': 'kateb', 'name': 'Kate Bowen 👰🏻', 'id': 82950193, 'id_str': '82950193', 'indices': [41, 47]}, {'screen_name': '3GS', 'name': 'Gregg Spiridellis', 'id': 783182, 'id_str': '783182', 'indices': [65, 69]}, {'screen_name': 'espiridellis', 'name': 'Evan Spiridellis', 'id': 20774765, 'id_str': '20774765', 'indices': [74, 87]}, {'screen_name': 'SnoopDogg', 'name': 'Snoop Dogg', 'id': 3004231, 'id_str': '3004231', 'indices': [89, 99]}], 'urls': [{'url': 'https://t.co/CLroj8yVtd', 'expanded_url': 'https://twitter.com/kateb/status/841461967336300544', 'display_url': 'twitter.com/kateb/status/8…', 'indices': [111, 134]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 841461967336300544, 'quoted_status_id_str': '841461967336300544', 'retweet_count': 0, 'favorite_count': 3, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",False,False,True,Katie Jacobs Stanton,0
3,101420414,101420414,rikardsteiber,California,SVP Virtual Reality at HTC,https://t.co/QVsRLly6vy,4077,2193,200,Sun Jan 03 06:55:12 +0000 2010,1913,False,2349,en,"{'created_at': 'Thu Mar 09 04:27:26 +0000 2017', 'id': 839694088572043265, 'id_str': '839694088572043265', 'text': ""The Future Of Virtual Reality Isn't Your Living Room - It's The Mall via @forbes #VR @Viveport @htcvive  https://t.co/jrKiFxOp76"", 'truncated': False, 'entities': {'hashtags': [{'text': 'VR', 'indices': [81, 84]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Forbes', 'name': 'Forbes', 'id': 91478624, 'id_str': '91478624', 'indices': [73, 80]}, {'screen_name': 'Viveport', 'name': 'Viveport', 'id': 758377453773479936, 'id_str': '758377453773479936', 'indices': [85, 94]}, {'screen_name': 'htcvive', 'name': 'HTC VIVE', 'id': 3232765964, 'id_str': '3232765964', 'indices': [95, 103]}], 'urls': [{'url': 'https://t.co/jrKiFxOp76', 'expanded_url': 'http://www.forbes.com/sites/charliefink/2017/03/07/the-future-of-virtual-reality-isnt-your-living-room-its-the-mall/#46f083c33f36', 'display_url': 'forbes.com/sites/charlief…', 'indices': [105, 128]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': {'id': '490bdb082950484f', 'url': 'https://api.twitter.com/1.1/geo/id/490bdb082950484f.json', 'place_type': 'city', 'name': 'Menlo Park', 'full_name': 'Menlo Park, CA', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-122.228922, 37.416515], [-122.120415, 37.416515], [-122.120415, 37.507328], [-122.228922, 37.507328]]]}, 'attributes': {}}, 'contributors': None, 'is_quote_status': False, 'retweet_count': 2, 'favorite_count': 6, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",False,False,False,Rikard Steiber,0
4,101766148,101766148,timarmstrongaol,,Autodidact / Teammate / Building Brands People ❤️ / Boston Sports Fanatic,https://t.co/PYChgOq3Mq,11530,448,282,Mon Jan 04 14:03:53 +0000 2010,122,True,546,en,"{'created_at': 'Fri Mar 03 17:32:30 +0000 2017', 'id': 837717330637520900, 'id_str': '837717330637520900', 'text': 'Always great to spend time w/ @cavsdan amazing leader &amp; truly great American for Detroit leadership.  Inspired by K… https://t.co/qrPPc8XGrS', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cavsdan', 'name': 'Dan Gilbert', 'id': 71980259, 'id_str': '71980259', 'indices': [30, 38]}], 'urls': [{'url': 'https://t.co/qrPPc8XGrS', 'expanded_url': 'https://twitter.com/i/web/status/837717330637520900', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [121, 144]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 837711454119813120, 'quoted_status_id_str': '837711454119813120', 'retweet_count': 4, 'favorite_count': 11, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",True,False,False,Tim Armstrong,0
5,103364904,103364904,Julie_LGreen,"Redmond, WA","Chief Experience Officer of Microsoft Office Products Group. Inspired by my kids, my team, (and fashion!). Passionate about tech that makes life easier.",https://t.co/BPIrf5c2oe,2844,126,110,Sat Jan 09 20:06:01 +0000 2010,692,True,263,en,"{'created_at': 'Thu Mar 09 02:35:53 +0000 2017', 'id': 839666017383108608, 'id_str': '839666017383108608', 'text': 'Back at you @vidsrinivasan! https://t.co/w4J9f7Jnin', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vidsrinivasan', 'name': 'Vidya Srinivasan', 'id': 774729949, 'id_str': '774729949', 'indices': [12, 26]}], 'urls': [{'url': 'https://t.co/w4J9f7Jnin', 'expanded_url': 'https://twitter.com/vidsrinivasan/status/839664741035327488', 'display_url': 'twitter.com/vidsrinivasan/…', 'indices': [28, 51]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 839664741035327488, 'quoted_status_id_str': '839664741035327488', 'retweet_count': 2, 'favorite_count': 11, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",True,False,False,Julie Larson-Green,0
6,109371631,109371631,brendaniribe,CA,cofounder @oculus,https://t.co/c0ndp1TJSU,20305,176,585,Thu Jan 28 21:01:55 +0000 2010,173,True,581,en,"{'created_at': 'Sat Mar 04 01:57:34 +0000 2017', 'id': 837844436407091201, 'id_str': '837844436407091201', 'text': 'RT @Jason_Rubin: Price Drop + 1.12 Fixes + Robo Recall launch + GearVR Controller + OpenXR collaboration + half a dozen new titles announce…', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jason_Rubin', 'name': 'Jason Rubin', 'id': 28039629, 'id_str': '28039629', 'indices': [3, 15]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'retweeted_status': {'created_at': 'Fri Mar 03 17:40:25 +0000 2017', 'id': 837719323460317185, 'id_str': '837719323460317185', 'text': 'Price Drop + 1.12 Fixes + Robo Recall launch + GearVR Controller + OpenXR collaboration + half a dozen new titles announced = GREAT GDC', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 33, 'favorite_count': 112, 'favorited': False, 'retweeted': False, 'lang': 'en'}, 'is_quote_status': False, 'retweet_count': 33, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",True,False,False,Brendan Iribe,0
7,116988614,116988614,jesslivingston,,,,25893,54,861,Wed Feb 24 05:31:15 +0000 2010,759,False,638,en,"{'created_at': 'Sat Mar 11 15:47:34 +0000 2017', 'id': 840590025385492480, 'id_str': '840590025385492480', 'text': 'Came across this at a school and realized it was the exact opposite of how people behave on Twitter. https://t.co/uVAtYjUhmT', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 840590023426789381, 'id_str': '840590023426789381', 'indices': [101, 124], 'media_url': 'http://pbs.twimg.com/media/C6pgLDQXUAUA2L5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C6pgLDQXUAUA2L5.jpg', 'url': 'https://t.co/uVAtYjUhmT', 'display_url': 'pic.twitter.com/uVAtYjUhmT', 'expanded_url': 'https://twitter.com/jesslivingston/status/840590025385492480/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 943, 'h': 1024, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 943, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 626, 'h': 680, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 840590023426789381, 'id_str': '840590023426789381', 'indices': [101, 124], 'media_url': 'http://pbs.twimg.com/media/C6pgLDQXUAUA2L5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C6pgLDQXUAUA2L5.jpg', 'url': 'https://t.co/uVAtYjUhmT', 'display_url': 'pic.twitter.com/uVAtYjUhmT', 'expanded_url': 'https://twitter.com/jesslivingston/status/840590025385492480/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 943, 'h': 1024, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 943, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 626, 'h': 680, 'resize': 'fit'}}}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 83, 'favorite_count': 192, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",True,False,False,Jessica Livingston,0
8,125499355,125499355,dfjsteve,,Rocket Ship Builder (that was Twitter's default option... how perfect),http://t.co/ZRB0yDMAEx,13519,32,485,Tue Mar 23 00:38:38 +0000 2010,2053,False,1311,en,"{'created_at': 'Sun Mar 12 06:15:10 +0000 2017', 'id': 840808364959387648, 'id_str': '840808364959387648', 'text': 'By Zonds! The Soviets wanted to fly humans around the moon, but only the tortoises survived. Exactly 50 years later… https://t.co/uw2HmCXlEU', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uw2HmCXlEU', 'expanded_url': 'https://twitter.com/i/web/status/840808364959387648', 'display_url': 'twitter.com/i/web/status/8…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': {'id': '5a110d312052166f', 'url': 'https://api.twitter.com/1.1/geo/id/5a110d312052166f.json', 'place_type': 'city', 'name': 'San Francisco', 'full_name': 'San Francisco, CA', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]]}, 'attributes': {}}, 'contributors': None, 'is_quote_status': False, 'retweet_count': 5, 'favorite_count': 25, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",True,False,False,Steve Jurvetson,0
9,127062637,127062637,omidkordestani,"California, USA",Executive Chairman @twitter,,28610,667,361,Sat Mar 27 23:05:58 +0000 2010,505,False,224,en,"{'created_at': 'Sun Mar 12 04:07:47 +0000 2017', 'id': 840776306849546240, 'id_str': '840776306849546240', 'text': 'One of the great outcomes of 2016 elections...dinner party conversation leads to a reading of.... https://t.co/VvUusToh5c', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 840776301019463680, 'id_str': '840776301019463680', 'indices': [98, 121], 'media_url': 'http://pbs.twimg.com/media/C6sJl1XVAAAX3u6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C6sJl1XVAAAX3u6.jpg', 'url': 'https://t.co/VvUusToh5c', 'display_url': 'pic.twitter.com/VvUusToh5c', 'expanded_url': 'https://twitter.com/omidkordestani/status/840776306849546240/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2019, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 670, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1183, 'h': 1200, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 840776301019463680, 'id_str': '840776301019463680', 'indices': [98, 121], 'media_url': 'http://pbs.twimg.com/media/C6sJl1XVAAAX3u6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/C6sJl1XVAAAX3u6.jpg', 'url': 'https://t.co/VvUusToh5c', 'display_url': 'pic.twitter.com/VvUusToh5c', 'expanded_url': 'https://twitter.com/omidkordestani/status/840776306849546240/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2019, 'h': 2048, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 670, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1183, 'h': 1200, 'resize': 'fit'}}}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 15, 'favorite_count': 106, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",False,False,True,Omid Kordestani,0
